,code,tags,shops,Markdown
10,5714,Drapery & Upholstery Stores,PRYALKA; IP VOLKOV K.B.; TEKSTILIYA; IP BALANDIN K.R.; SIBTKAN; SALON SHTOR; IP BALANDINA T.V.; DOM TKANI,Furnurure
11,3504,Hilton Hotels,HILTON FRONT DESK,Hotels
12,7277,Counseling Service - Debt,Consultation,TaxesAndFines
13,6051,"Foreign Currency,Money,TC's",Creafast!AVA2155840; EstChange; rocketbit.io; SC; Creafast!AVA2144491; Creafast!AVA2083448; YANDEX.MONEY; Creafast!AVA2156707; R-bit; Creafast!AVA2141651; Creafast!AVA2144430; Creafast!AVA2156048; Creafast!AVA2087638; Binance; Creafast!AVA2155633; safecur; Creafast!AVA2156311; Creafast!AVA2087722; NKOERP.RU.; Creafast!AVA2155517; Creafast!AVA2156622; Creafast!AVA2155889; Creafast!AVA2085964; Creafast!AVA2156258; Creafast!AVA2155792; Creafast!AVA2141689; Creafast!AVA2156126; Creafast!AVA2144444; binance.com; Creafast!AVA2144484; Creafast!AVA2045781; partners hyper gate; Creafast!AVA2155704; Creafast!AVA2155359,MoneySaveAndInvesting
14,5231,"Glass,paint,wallpaper Store",CENTR OBOEV PREMERA; AKVAPROFI; MAGAZIN STROJDOM; PODKRASKA; IP KUZNECOV A.A.,Furnurure
15,5712,"Furniture,home Furnishings",ALYANS; TOVARY DLYA DOMA; IKEA DOM 2; TC MEBEL PLYUS; IP SHKATOVA E.B. SHOP; IKEA DOM 7 CASH LINE; CHERRYONLINETREE; IP MIKHEEVA A.V.; IKEA DOM 10CASH LINE; BBVTNOK.COM; IKEA DOM 9 CASH LINE; MAROONFLORA; PARROTSTREE; FALCONSTREE; MAROONPOOL; FINSKIE TOVARY; IP Gladkih L.V.; IKEA DOM 6 CASH LINE; IKEA DOM 15CASH LINE; MEBELNYI RAY; IP KRYUCHKOVA K. V.; BOOBIESTREE; LINENFLORA; OOO MOLDI GRUPP; GRAPEONLINEPOOL; OFISNYJ MIR; GROUSETREE; OOO SDELAY MEBEL; VSE DLYA MEBELI; IP VASHKEVICH I.P.; BANANAONLINETREE; IKEA DOM 4 CASH LINE; Domashnijj tekstil'; FRUITONLINEHOUSE; IKEA DOM 3 CASH LINE; OOO FABRIKA-KUKHNYA; APOLEHOMEONLINE; OOO LYUKS FART; STORKSTREE; IP ZDVIGINCEV A.N. TRI; PEARONLINETREE; IKEA DOM 11CASH LINE; SPORTTREESHOP; Mebelnyy salon Grand; IP SELYUKOVA S.V.; IKEA DOM 8 CASH LINE; KORPORACIYA CENTR; PORTAL,Furnurure
16,8299,Schools & Educational Servi,OOO NOVATIKA; Solodar.com; YM YA.PRAKTIKUM; BARBARIS; KOMFORT; Tweekly.ru; TITIKAKA; SCHOOL PRESIDENT; Nii-evrika; MAGAZIN ODEZHDY; geishaschool; fizikl; GBUK GDM 1; vagimagia.ru; Yulia Vakarchuk; hellomusic.ru; EVO KOROL GOVORIT,Education
17,7311,Advertising Services,YM.ADV; FACEBK *R35R98TVM2; FACEBK *EHJC867JC2; SHKOLA KOLOKOL; IP BOCHKOV V.B.; AVITO GOOGLE PAY; FACEBK *6YCBG5THC2; CIAN; YM*sibmama; FACEBK *XBTGD7KDQ2; AUTO; Y.M*blablacar; FACEBK *Z9VMKSBHC2; FACEBK *UTKZ66KLL2; AVITO; YOULA.; smmplanner.com; tx.in-marketing.org; FACEBK *HMGVM83SF2; YM*blablacar; FACEBK *6N8946XHC2; AVITO APPLE PAY; FACEBK *FQZBA5FHC2; DROM_ASSIST; FACEBK *LWD5U5PHC2; tx.pro-marketing.org; FACEBK *MU3KV5FG32; FACEBK YH5CZ63BV2; SENDPULSE INC; FACEBK *NZFKH778X2; N1.RU,Services
18,8220,"Colleges,Universities",NP IPB MR; NP IPB ROSSII,Education
19,5950,Glassware And Crystal Store,FISSMAN,Hobbies
20,7829,Motion Picture/Video Prd/Di,GOSNOMER 51,Hobbies
21,5621,Women's Ready-to-wear Store,PUDRA; NOVINKA; SVADEB SALON; IP RABADANOV RI; PAFOS; INCANTO; MAGAZIN ACOOLA; SHOP N1 BAPB; COCO134; PROMTOVARY; MILAVITSA; 182 VERALLY N24 SHOP; MAGAZIN; FIKS PRAJS.; BELIO.CI; ZHENSKIJ NA BN; GROOVE; KITAJ GOROD; IP KHABASOVA; MAGAZIN ELIS DISKONT; M-N BJUTI; IP KOLOSOVA G.A.; LUSIO AURA NS; MAGAZIN MANGO; FINSKAYA ODEZHDA; MIR ODEZHDA OBUV; IPKIMOR; MARELLA; TOMILKO 1; INCITY; FILOMODA; MAX MARA WEEKEND; BELLE YOU; LIME; 182 VERALLY N17 STORE; IP KHRISTOFOROVA R M; FALKE TVK AVIAPARK; SALON BELYA PRIVAT; M-n Conte 20; SHATTE; YUSHAS SHOWROOM; MAGAZIN INCANTO; 12STOREEZ; CENTRALNYJ PLYAZH; FIGURISTAYA YA; IP Solovev V.V.; PLATINUM,Clothes
22,4814,Telecommunication Service,AO ALTAGEN; PAY.MTS.RU TOPUP 8947; PAY.MTS.RU TOPUP 9621; PAY.MTS.RU TOPUP 4410; Tele2; IP TARAKANOV M.A.; PAY.MTS.RU TOPUP 3612; mTinkoff; MONEY.MAIL.RU; PAY.MTS.RU TOPUP 3157; mango-office; TELEOKA.; PAY.MTS.RU TOPUP 9663; WI-FI RU; 00415190; PAY.MTS.RU TOPUP 1835; RURU_BEELINE; Megafon; PAY.MTS.RU TOPUP 8277; Alfa Iss; PAY.MTS.RU TOPUP 5459; YOTA; PAY.MTS.RU TOPUP 6473; PAY.MTS.RU TOPUP 7070; PAY.MTS.RU TOPUP 1682; PAY.MTS.RU TOPUP 7973; SVYAZINFORM; PAY.MTS.RU TOPUP 5586; PAY.MTS.RU TOPUP 6449; PAY.MTS.RU TOPUP 4389; PAY.MTS.RU TOPUP 9922; PAY.MTS.RU TOPUP 7909; PAY.MTS.RU TOPUP 7638; PAY.MTS.RU TOPUP 3991; PAY.MTS.RU TOPUP 1457; PAY.MTS.RU TOPUP 2320; BEELINE SVYAZ; PAY.MTS.RU TOPUP 8788; PAY.MTS.RU TOPUP 4306; WWW.TELPLUS.RU; PAY.MTS.RU TOPUP 3288; PAY.MTS.RU TOPUP 6300; PAY.MTS.RU TOPUP 8680; PAY.MTS.RU TOPUP 2575; TELE2; PAY.MTS.RU TOPUP 0295; TELE2 T2 MOBILE; WWW TATTELECOM RU; PAUERNET GOOGLE; OAO MTS; PAY.MTS.RU TOPUP 1763; PAY.MTS.RU TOPUP 2716; BEELINE SOTOVAYA SVYAZ; PAO MTS P231; ITT 729709 86261232; PAY.MTS.RU TOPUP 8700; PAY.MTS.RU TOPUP 8772; PAY.MTS.RU TOPUP 5351; PAY.MTS.RU TOPUP 7979; PAY.MTS.RU TOPUP 7295; PAY.MTS.RU TOPUP 0490; PAY.MTS.RU TOPUP 4123; PAY.MTS.RU TOPUP 2747; PAY.MTS.RU TOPUP 2030; PAY.MTS.RU TOPUP 7872; MTS. TINKOFF; PAY.MTS.RU TOPUP 1209; TELEOKA KOM; OPEN.RU; SEVENSKY.RU; PAY.MTS.RU TOPUP 4365; URALSVYAZINFORM; Wallet One*EDINAYA KAS; PAY.MTS.RU TOPUP 9765; PAY.MTS.RU TOPUP 2848; PAY.MTS.RU TOPUP mous; PAY.MTS.RU TOPUP 4511; PAY.MTS.RU TOPUP 5101; PAY.MTS.RU TOPUP 1210; BEE-LINE; TELE2 SANKT-PETERBURG; PAY.MTS.RU TOPUP 1377; PAY.MTS.RU TOPUP 9779; 00436317; PAY.MTS.RU TOPUP 3333; PAY.MTS.RU TOPUP 8814; Promsvyazbank; PAY.MTS.RU TOPUP 3481; PAY.MTS.RU TOPUP 5926; OPLATA SOTOVOY SVYAZI; ATM 281120 6984; PAY.MTS.RU TOPUP 8914; PAY.MTS.RU TOPUP 1289; PAY.MTS.RU TOPUP 7279; PAY.MTS.RU TOPUP 6777; PAY.MTS.RU TOPUP 6452,Subscriptions
23,5661,Shoe stores,"ELCHE; MAGAZIN PODIUM; 210625 KARI; ANTILOPKA; COLINS; 210890 KARI; 211412 KARI; IP BABAEV V.YU.; AMBAR; 210728 KARI; RALF RINGER MEGA BELAY; ""MOXITO""; MARAFON; ALFAVIT IP BOJKOV A.A.; IP GUSEYNOV R.G.; RENDEZ-VOUS ORDZHONIK; RENDEZ-VOUS LENING.OB; OBUV KLASSIKA; MAGAZIN CHETYRE SEZONA; LIKA; 211425 KARI; IP ROZHKOVA VORONEZH; RIEKER; 211472 KARI; 210888 KARI; 211562 KARI; YUNICHEL 20; MARKO; ASKANIYA; LAPOTOK; ZENDEN; 211075 KARI; BLOK V BUTIK 18; 211066 KARI; CROCS; OBUV; SUPER EKONOM 15; IP IVANOVA I.P. LAPOTO; 211085 KARI; TOPTYZHKA; SANDRA VALERI; MASHA I MEDVED; 211437 KARI; BELWEST; 210987 KARI; IP MAMEDOV A.G. UDELNA; AURA NOVOSIBIRSK; TAMARIS; SMESHNYE CENY; RENDEZ -VOUS; BASHMAG; MAGAZIN OBUVI; RESPECT; MIR DETSKOJ OBUVI; SHOKOLAD; ""CROCS""; 211022 KARI; EVO IP STORCHEUS YU.A.; IP Golubnichenko; SHOP ""SHAGOVITA"" N 18; SHOP ""MEGATOP""; IP SE KHAJBO; M-N EKKO-MEGA2; SMS; RENDEZ-VOUS PULKOVO; 215129 KARI; TERVOLINA; RENDEZ-VOUS NOVOS.GAL; KOTOFEY; HOGL; DRC; MONRO; 211001 KARI; NEMECKAYA OBUV; I LOVE ITALIAN SHOES",Clothes
24,5944,Jewelry Stores - Watches,"IP SHEVCHENKO A.A.; AURUM; msilver; KLEN; KOLUMB; MIR KAMNYA; MOSKOVSKOE VREMA-PASSA; 177; IP KOCHETOV; Y.M*sunlight; ZOLOTOJ ARBAT; ASTRON TIME; IP ABOLONINA N.YU.; YUVELIRNYJ MAGAZIN; IP KOVALEVSKAYA A. A.; TC AURA, NOVOSIBIRSK; LARGENTO BELLISIMO; UN50 MSK METROPOL; YANTARNYY KRAY; OOO REGENT GOLD; IP ZAYTSEV I.I.; ALTAN; SV RETAIL; RUSSKOE ZOLOTO; ZOLOTOY; AMBER ART; BUSINKA NA DOLOMANOVSK; CHASOVOY TSENTR-2; SUNLIGHT BRILLIANT; MAGAZIN ZOLOTO KRYMA; CHASY; KAMEYA; JEWELRY SHOP; Magazin ""Kometa""",Clothes
25,8062,Hospitals,ODINMED PLYUS; VARIKOZA NET; MMC DIALAJN; RADUGA ZDOROVYA; ULTRAKIDS; ULTRAMED; KLINIKA DINASTIYA; ASKLEPIJ-N; SHANS; GBUZ AO OND; POL-KA PROFMEDOSMOTR; VIZAVI; OOO AGAT; KLINIKA DINASTIYA.; MOY DOKTOR; AVS-DIAGNOSTIKA; OOO CSM ZDRAVICA; KASSA TSENTRALNAYA; MOJ DOKTOR; APTEKA; FGBU GZ SHULGAN TASH; DETSKIY MEDICINSKIY CE; KUMPF MED EXPERT; INVITRO SP-MED; OOO NEJROPROFI; PRAYM MEDIKAL; CHUZ POLIKLINIKA OVUM; OTKRYTAYA K. MHTS 1; ORIS PROF; MTS MEDEKSPERT N1; TSKB RAN STATSIONAR; AKADEMIYA ZDOROVYA; NARKODISPANSER; BUZ UR RDKB MZ UR; MEDIALAB; MU POLIKLINIKA FNPR; GBUZ NO BUTURLINSKAYA; GBUZ MO MOKND; EGOIST; FGBU OBP; Bolnica RJD; KLINIKA PREOBRAZHENSKA; MEDSKAN1; OOO ILONAIS; POLIKLIKINA N6; EMC TRIFONOVSKAYA; MMC - DIALAJN; GEMOTEST LABORATORY; MNIOI IM.GERTSENA; BUDTE ZDOROVY; GBUZSO TLRTSARIADNA; KLINIKA GORBAKOVA,Health
